Class Name,Class Stereotype,Method Name,Method Stereotype
"Bot","boundary degenerate","DisposeAsync","non-void-command collaborator"
"Bot","boundary degenerate","DeleteAllRelatedFiles","property non-void-command collaborator"
"Bot","boundary degenerate","get","property non-void-command collaborator"
"Bot","boundary degenerate","set","non-void-command"
"SubmitRequest","empty","SubmitRequest","constructor"
"SemaphoreLock","empty","SemaphoreLock","constructor"
"SetPart","empty","SetPart","constructor"
"BotController","degenerate","AddLicensePost","controller stateless"
"BotController","degenerate","BotDelete","controller stateless"
"BotController","degenerate","BotGet","controller stateless"
"BotController","degenerate","BotPost","controller stateless"
"BotController","degenerate","GamesToRedeemInBackgroundDelete","controller stateless"
"BotController","degenerate","GamesToRedeemInBackgroundGet","controller stateless"
"BotController","degenerate","GamesToRedeemInBackgroundPost","controller stateless"
"BotController","degenerate","InputPost","controller stateless"
"BotController","degenerate","PausePost","controller stateless"
"BotController","degenerate","RedeemPost","controller stateless"
"BotController","degenerate","RenamePost","wrapper stateless"
"BotController","degenerate","ResumePost","controller stateless"
"BotController","degenerate","StartPost","controller stateless"
"BotController","degenerate","StopPost","controller stateless"
"Strings","empty","Strings","constructor"
"Strings","empty","Strings","constructor"
"Strings","empty","Strings","constructor"
"Strings","empty","Strings","constructor"
"AddLicenseResult","empty","AddLicenseResult","constructor"
"AnnouncementRequest","empty","AnnouncementRequest","constructor"
"ConcurrentEnumerator<T>","commander small-class","ConcurrentEnumerator","constructor"
"ConcurrentEnumerator<T>","commander small-class","Dispose","command"
"MaFileData","empty","MaFileData","constructor"
"GamesToRedeemInBackgroundResponse","empty","GamesToRedeemInBackgroundResponse","constructor"
"IPCBansController","boundary degenerate small-class","Delete","wrapper stateless"
"IPCBansController","boundary degenerate small-class","DeleteSpecific","wrapper stateless"
"MobileAuthenticatorPlugin","boundary degenerate","OnBotCommand","wrapper stateless"
"MobileAuthenticatorPlugin","boundary degenerate","OnBotSteamCallbacksInit","wrapper stateless"
"MobileAuthenticatorPlugin","boundary degenerate","OnBotSteamHandlersInit","controller stateless"
"MobileAuthenticatorPlugin","boundary degenerate","OnLoaded","wrapper stateless"
"BackgroundTaskResponse","empty","BackgroundTaskResponse","constructor"
"PluginsController","boundary degenerate small-class","UpdatePost","wrapper stateless"
"TypeController","pure-controller degenerate small-class","TypeGet","controller stateless"
"Actions","entity boundary","Actions","constructor"
"Actions","entity boundary","Dispose","command"
"Actions","entity boundary","DisposeAsync","non-void-command collaborator"
"Actions","entity boundary","AddFreeLicenseApp","property non-void-command collaborator"
"Actions","entity boundary","AddFreeLicensePackage","property non-void-command collaborator"
"Actions","entity boundary","GenerateTwoFactorAuthenticationToken","property non-void-command collaborator"
"Actions","entity boundary","GetConfirmations","property non-void-command collaborator"
"Actions","entity boundary","GetFirstSteamMasterID","property non-void-command"
"Actions","entity boundary","GetTradingLock","property non-void-command factory collaborator"
"Actions","entity boundary","HandleTwoFactorAuthenticationConfirmations","property non-void-command collaborator"
"Actions","entity boundary","Pause","property non-void-command collaborator"
"Actions","entity boundary","Play","property non-void-command collaborator"
"Actions","entity boundary","RedeemKey","property non-void-command collaborator"
"CustomAttributesSchemaFilter","pure-controller degenerate small-class","Apply","controller stateless"
"GitHubController","degenerate","GitHubReleaseGet","wrapper stateless"
"GitHubController","degenerate","GitHubReleaseGet","controller stateless"
"GitHubController","degenerate","GitHubWikiHistoryGet","controller stateless"
"GitHubController","degenerate","GitHubWikiPageGet","wrapper stateless"
"Trading","boundary degenerate","ExploitingNewSetsIsFairButNotNeutral","wrapper stateless"
"Trading","boundary degenerate","Issue3203","wrapper stateless"
"Trading","boundary degenerate","MismatchRarityIsNotFair","wrapper stateless"
"Trading","boundary degenerate","MismatchRealAppIDsIsNotFair","wrapper stateless"
"Trading","boundary degenerate","MismatchTypesIsNotFair","wrapper stateless"
"Trading","boundary degenerate","MultiGameMultiTypeBadReject","wrapper stateless"
"Trading","boundary degenerate","MultiGameMultiTypeNeutralAccept","wrapper stateless"
"Trading","boundary degenerate","MultiGameSingleTypeBadReject","wrapper stateless"
"Trading","boundary degenerate","MultiGameSingleTypeNeutralAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameAbrynosWasWrongNeutralAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameDonationAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameMultiTypeBadReject","wrapper stateless"
"Trading","boundary degenerate","SingleGameMultiTypeNeutralAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameQuantityBadReject","wrapper stateless"
"Trading","boundary degenerate","SingleGameQuantityBadReject2","wrapper stateless"
"Trading","boundary degenerate","SingleGameQuantityNeutralAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeBadReject","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeBadWithOverpayingReject","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeBigDifferenceAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeBigDifferenceReject","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeGoodAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeNeutralAccept","wrapper stateless"
"Trading","boundary degenerate","SingleGameSingleTypeNeutralWithOverpayingAccept","wrapper stateless"
"Trading","boundary degenerate","TakingExcessiveAmountOfSingleCardCanStillBeFairAndNeutral","wrapper stateless"
"Trading","boundary degenerate","Trading","constructor"
"EnumSchemaFilter","boundary degenerate small-class","Apply","wrapper stateless"
"BoosterCreatorEntry","empty","BoosterCreatorEntry","constructor"
"MeowResponse","empty","MeowResponse","constructor"
"ReadOnlyFixesSchemaFilter","boundary degenerate small-class","Apply","wrapper stateless"
"StructureController","boundary degenerate small-class","StructureGet","wrapper stateless"
"SwaggerItemsMinMaxAttribute","data-provider boundary small-class","Apply","void-accessor wrapper"
"GenericResponse","empty","GenericResponse","constructor"
"GenericResponse","empty","GenericResponse","constructor"
"SwaggerSecurityCriticalAttribute","pure-controller small-class","Apply","controller"
"SwaggerValidValuesAttribute","commander boundary small-class","Apply","command collaborator"
"ASFRequest","empty","ASFRequest","constructor"
"BotGamesToRedeemInBackgroundRequest","empty","BotGamesToRedeemInBackgroundRequest","constructor"
"UserPrivacy","empty","UserPrivacy","constructor"
"UserPrivacy","empty","UserPrivacy","constructor"
"BotInputRequest","empty","BotInputRequest","constructor"
"MobileAuthenticator","entity boundary","GenerateToken","property non-void-command collaborator"
"MobileAuthenticator","entity boundary","GenerateTokenForTime","property non-void-command"
"MobileAuthenticator","entity boundary","GetConfirmations","property non-void-command collaborator"
"MobileAuthenticator","entity boundary","GetSteamTime","property non-void-command collaborator"
"MobileAuthenticator","entity boundary","HandleConfirmations","property non-void-command collaborator"
"MobileAuthenticator","entity boundary","Init","set collaborator"
"MobileAuthenticator","entity boundary","GenerateConfirmationHash","property non-void-command"
"BotPauseRequest","empty","BotPauseRequest","constructor"
"ItemsMatcherPlugin","entity commander boundary","OnBotCommand","wrapper stateless"
"ItemsMatcherPlugin","entity commander boundary","OnBotDestroy","non-void-command collaborator"
"ItemsMatcherPlugin","entity commander boundary","OnBotInit","wrapper stateless"
"ItemsMatcherPlugin","entity commander boundary","OnBotInitModules","non-void-command collaborator"
"ItemsMatcherPlugin","entity commander boundary","OnBotTradeOfferResults","property non-void-command collaborator"
"ItemsMatcherPlugin","entity commander boundary","OnBotUserNotifications","property non-void-command collaborator"
"ItemsMatcherPlugin","entity commander boundary","OnLoaded","wrapper stateless"
"ItemsMatcherPlugin","entity commander boundary","OnSelfPersonaState","non-void-command collaborator"
"BotRedeemRequest","empty","BotRedeemRequest","constructor"
"TradeOffersResponse","empty","TradeOffersResponse","constructor"
"BotRenameRequest","empty","BotRenameRequest","constructor"
"BotRequest","empty","BotRequest","constructor"
"CommandRequest","empty","CommandRequest","constructor"
"UpdateRequest","empty","UpdateRequest","constructor"
"BotAddLicenseResponse","empty","BotAddLicenseResponse","constructor"
"GenericResponse<T>","empty","GenericResponse","constructor"
"ApiAuthenticationMiddleware","entity boundary small-class","ApiAuthenticationMiddleware","constructor"
